seed,method,kv,cache,repair,ce,acc,params,repair_params,seconds,init_ce,init_acc
0,MHA_teacher,4,1.0,none,2.0400802373886107,0.423828125,42384,0,0.8639028072357178,,
0,GQA_half,2,0.5,none,2.0551730394363403,0.414453125,40080,0,0.32770395278930664,2.174829435348511,0.3865234375
0,GQA_half_MLP,2,0.5,mlp,2.0987990140914916,0.4072265625,46336,6256,0.46430516242980957,2.064069366455078,0.4138671875
0,GQA_half_LFOM,2,0.5,lfom,1.9873362541198731,0.4248046875,43313,3233,0.6123943328857422,2.2142632961273194,0.3681640625
0,MQA_quarter,1,0.25,none,2.0670485496520996,0.41376953125,38928,0,0.2747325897216797,2.3083309173583983,0.3140625
0,MQA_quarter_MLP,1,0.25,mlp,1.9627692461013795,0.44453125,45184,6256,0.311657190322876,2.341157007217407,0.3060546875
0,MQA_quarter_LFOM,1,0.25,lfom,2.006668782234192,0.4267578125,42161,3233,0.5278799533843994,2.2586804389953614,0.325
1,MHA_teacher,4,1.0,none,2.0177986860275268,0.4185546875,42384,0,0.913365364074707,,
1,GQA_half,2,0.5,none,1.9406942844390869,0.440234375,40080,0,0.2755591869354248,2.093234968185425,0.4232421875
1,GQA_half_MLP,2,0.5,mlp,1.9506963729858398,0.433203125,46336,6256,0.32982540130615234,2.0316722869873045,0.4365234375
1,GQA_half_LFOM,2,0.5,lfom,1.9767587900161743,0.42744140625,43313,3233,0.589069128036499,2.1390098571777343,0.40859375
1,MQA_quarter,1,0.25,none,1.9861246824264527,0.4302734375,38928,0,0.3470499515533447,2.393318510055542,0.396484375
1,MQA_quarter_MLP,1,0.25,mlp,1.9855483531951905,0.423828125,45184,6256,0.3408503532409668,2.357388067245483,0.4115234375
1,MQA_quarter_LFOM,1,0.25,lfom,1.980408215522766,0.4390625,42161,3233,0.5860714912414551,2.3619942665100098,0.4060546875
2,MHA_teacher,4,1.0,none,2.0497285604476927,0.41162109375,42384,0,0.8066153526306152,,
2,GQA_half,2,0.5,none,1.9860302448272704,0.43515625,40080,0,0.36664748191833496,1.9934845447540284,0.4380859375
2,GQA_half_MLP,2,0.5,mlp,2.0368563890457154,0.409765625,46336,6256,0.40424299240112305,2.17628698348999,0.3966796875
2,GQA_half_LFOM,2,0.5,lfom,1.9531480312347411,0.44541015625,43313,3233,0.6071722507476807,2.089644527435303,0.42109375
2,MQA_quarter,1,0.25,none,2.01768012046814,0.4255859375,38928,0,0.2638113498687744,2.207216262817383,0.406640625
2,MQA_quarter_MLP,1,0.25,mlp,1.9795171022415161,0.43037109375,45184,6256,0.30802130699157715,2.192015504837036,0.406640625
2,MQA_quarter_LFOM,1,0.25,lfom,2.0172122001647947,0.4169921875,42161,3233,0.6535007953643799,2.1404412746429444,0.42265625
3,MHA_teacher,4,1.0,none,1.9975018978118897,0.43779296875,42384,0,0.8041930198669434,,
3,GQA_half,2,0.5,none,2.0034483671188354,0.42626953125,40080,0,0.27868008613586426,2.1315657615661623,0.401953125
3,GQA_half_MLP,2,0.5,mlp,1.9682202100753785,0.43349609375,46336,6256,0.31548261642456055,2.1149270057678224,0.4095703125
3,GQA_half_LFOM,2,0.5,lfom,1.9889296531677245,0.42529296875,43313,3233,0.5801281929016113,2.0818684101104736,0.43984375
3,MQA_quarter,1,0.25,none,2.000796341896057,0.43515625,38928,0,0.35068368911743164,2.271692323684692,0.3595703125
3,MQA_quarter_MLP,1,0.25,mlp,1.9955703496932984,0.4349609375,45184,6256,0.3305511474609375,2.309212350845337,0.3451171875
3,MQA_quarter_LFOM,1,0.25,lfom,2.0905975818634035,0.3978515625,42161,3233,0.6489670276641846,2.2767220973968505,0.36328125
4,MHA_teacher,4,1.0,none,2.020763063430786,0.4275390625,42384,0,0.8219809532165527,,
4,GQA_half,2,0.5,none,2.0050735473632812,0.4232421875,40080,0,0.2733924388885498,2.217617416381836,0.390625
4,GQA_half_MLP,2,0.5,mlp,2.0178643703460692,0.4203125,46336,6256,0.31450819969177246,2.261609411239624,0.3791015625
4,GQA_half_LFOM,2,0.5,lfom,1.9981661319732666,0.42705078125,43313,3233,0.6347596645355225,2.147692394256592,0.401171875
4,MQA_quarter,1,0.25,none,2.0660672903060915,0.41064453125,38928,0,0.35361194610595703,2.319047975540161,0.3955078125
4,MQA_quarter_MLP,1,0.25,mlp,1.9846088886260986,0.43046875,45184,6256,0.34474682807922363,2.3240429401397704,0.3837890625
4,MQA_quarter_LFOM,1,0.25,lfom,1.9955577611923219,0.42900390625,42161,3233,0.6705799102783203,2.318482828140259,0.3798828125
