seed,method,cache,T,ce,acc
0,MHA_pretrain,1.0,40,3.1528010765711465,0.21979166567325592
0,MHA_pretrain,1.0,80,3.2288896242777505,0.20026041567325592
0,MHA_continue,1.0,40,3.1433819929758706,0.21145833283662796
0,MHA_continue,1.0,80,3.2330006758371987,0.20703125
0,GQA_half,0.5,40,3.2209423383076987,0.18437500049670538
0,GQA_half,0.5,80,3.1373083194096885,0.2247395838300387
0,GQA_half_MLP,0.5,40,3.101991613705953,0.22968749950329462
0,GQA_half_MLP,0.5,80,3.2136935790379844,0.19531249751647314
0,GQA_half_LFOM,0.5,40,3.0580562750498452,0.23958333830038706
0,GQA_half_LFOM,0.5,80,3.223885695139567,0.2088541661699613
0,MQA_sixth,0.16666666666666666,40,3.2739234368006387,0.203125
0,MQA_sixth,0.16666666666666666,80,3.312898794809977,0.19322916865348816
0,MQA_sixth_LFOM,0.16666666666666666,40,3.21010414759318,0.2078124980131785
0,MQA_sixth_LFOM,0.16666666666666666,80,3.196691711743673,0.21197916318972906
1,MHA_pretrain,1.0,40,3.3375272353490195,0.19114583730697632
1,MHA_pretrain,1.0,80,3.3326563437779746,0.1971354161699613
1,MHA_continue,1.0,40,3.1506476402282715,0.2104166696468989
1,MHA_continue,1.0,80,3.2870824337005615,0.21067707985639572
1,GQA_half,0.5,40,3.1734099785486856,0.2390624980131785
1,GQA_half,0.5,80,3.005210757255554,0.2622395803531011
1,GQA_half_MLP,0.5,40,3.099879423777262,0.22916666915019354
1,GQA_half_MLP,0.5,80,3.101346254348755,0.21197916691501936
1,GQA_half_LFOM,0.5,40,3.0996803045272827,0.2567708343267441
1,GQA_half_LFOM,0.5,80,3.2364471356074014,0.20651041716337204
1,MQA_sixth,0.16666666666666666,40,3.1491345167160034,0.23177083333333334
1,MQA_sixth,0.16666666666666666,80,3.1537230809529624,0.21406249701976776
1,MQA_sixth_LFOM,0.16666666666666666,40,3.2351560990015664,0.20468749850988388
1,MQA_sixth_LFOM,0.16666666666666666,80,3.144722660382589,0.2291666641831398
2,MHA_pretrain,1.0,40,3.3658673763275146,0.18906249602635702
2,MHA_pretrain,1.0,80,3.3600366910298667,0.18854166318972906
2,MHA_continue,1.0,40,3.2548400163650513,0.20885416368643442
2,MHA_continue,1.0,80,3.2224236329396567,0.22526041666666666
2,GQA_half,0.5,40,3.14463472366333,0.23541666815678278
2,GQA_half,0.5,80,3.2571283976236978,0.21197916318972906
2,GQA_half_MLP,0.5,40,3.201596975326538,0.19166666766007742
2,GQA_half_MLP,0.5,80,3.2272475560506186,0.21588541318972906
2,GQA_half_LFOM,0.5,40,3.1135727564493814,0.2244791661699613
2,GQA_half_LFOM,0.5,80,3.222657481829325,0.2218750019868215
2,MQA_sixth,0.16666666666666666,40,3.3112380504608154,0.21041666467984518
2,MQA_sixth,0.16666666666666666,80,3.2522021532058716,0.2010416661699613
2,MQA_sixth_LFOM,0.16666666666666666,40,3.1882259448369346,0.19531249503294626
2,MQA_sixth_LFOM,0.16666666666666666,80,3.1883997122446694,0.21276041865348816
3,MHA_pretrain,1.0,40,3.2873119910558066,0.1869791659216086
3,MHA_pretrain,1.0,80,3.20125679175059,0.22578124950329462
3,MHA_continue,1.0,40,3.2212169567743936,0.19427083681027094
3,MHA_continue,1.0,80,3.0950957536697388,0.2356770858168602
3,GQA_half,0.5,40,2.9609463214874268,0.2734375049670537
3,GQA_half,0.5,80,3.194814165433248,0.22057291368643442
3,GQA_half_MLP,0.5,40,3.146123766899109,0.21666666865348816
3,GQA_half_MLP,0.5,80,3.2408284743626914,0.18489583333333334
3,GQA_half_LFOM,0.5,40,3.121526002883911,0.21458333482344946
3,GQA_half_LFOM,0.5,80,3.1827274560928345,0.21874999751647314
3,MQA_sixth,0.16666666666666666,40,3.286259730656942,0.2078124980131785
3,MQA_sixth,0.16666666666666666,80,3.275949796040853,0.22343750298023224
3,MQA_sixth_LFOM,0.16666666666666666,40,3.224271853764852,0.22864582886298498
3,MQA_sixth_LFOM,0.16666666666666666,80,3.0942941904067993,0.22734375049670538
4,MHA_pretrain,1.0,40,3.178678035736084,0.25052083283662796
4,MHA_pretrain,1.0,80,3.1928109327952066,0.22578125447034836
