seed,compression,base_ce,mlp_ce,lfom_ce,mha_ce,lfom_recovery,mlp_recovery,lfom_beats_mha
0,GQA_half,2.0551730394363403,2.0987990140914916,1.9873362541198731,2.0400802373886107,4.494644871239898,-2.890515261327084,True
0,MQA_quarter,2.0670485496520996,1.9627692461013795,2.006668782234192,2.0400802373886107,2.2389153176505148,3.866734504253671,True
1,GQA_half,1.9406942844390869,1.9506963729858398,1.9767587900161743,2.0177986860275268,0.4677360155077642,0.1297213692175581,True
1,MQA_quarter,1.9861246824264527,1.9855483531951905,1.980408215522766,2.0177986860275268,-0.1804781920114705,-0.01819565466118148,True
2,GQA_half,1.9860302448272704,2.0368563890457154,1.9531480312347411,2.0497285604476927,-0.5162179450469951,0.7979197522477293,True
2,MQA_quarter,2.01768012046814,1.9795171022415161,2.0172122001647947,2.0497285604476927,-0.014600408121069802,-1.1907917593172082,True
3,GQA_half,2.0034483671188354,1.9682202100753785,1.9889296531677245,1.9975018978118897,2.44156880355077,5.92421405460023,True
3,MQA_quarter,2.000796341896057,1.9955703496932984,2.0905975818634035,1.9975018978118897,-27.258389480312953,1.5863047206884062,False
4,GQA_half,2.0050735473632812,2.0178643703460692,1.9981661319732666,2.020763063430786,-0.4402567523622247,0.8152464950324121,True
4,MQA_quarter,2.0660672903060915,1.9846088886260986,1.9955577611923219,2.020763063430786,1.5563565251392284,1.7980309410024262,True
