T,method,ce,acc,cache
40,GQA_half_LFOM,3.128946503003438,0.23066406355549893,0.5
40,GQA_half,3.133161172270775,0.22682291734963655,0.5
40,GQA_half_MLP,3.165556107958158,0.2167317715163032,0.5
40,MHA_continue,3.1947504480679827,0.21171875049670538,1.0
40,MQA_sixth_LFOM,3.224178592363993,0.20696614465365806,0.16666666666666666
40,MQA_sixth,3.246240640679995,0.20592447804907957,0.16666666666666666
40,MHA_pretrain,3.2842117150624595,0.20253906166180968,1.0
80,GQA_half,3.1537805596987405,0.22148437425494194,0.5
80,MQA_sixth_LFOM,3.179644917448362,0.2177083327745398,0.16666666666666666
80,GQA_half_MLP,3.1888486097256346,0.208496092663457,0.5
80,MHA_continue,3.195973053574562,0.21764322835952044,1.0
80,GQA_half_LFOM,3.207454467813174,0.21113281107197204,0.5
80,MQA_sixth,3.2482274373372397,0.20315755189706883,0.16666666666666666
80,MHA_pretrain,3.281883572538694,0.20706380189706883,1.0
