seed,T,base,lfom,base_ce,lfom_ce,mha_continue_ce,lfom_beats_mha_continue,lfom_beats_base
0,40,GQA_half,GQA_half_LFOM,3.2209423383076987,3.0580562750498452,3.1433819929758706,True,True
0,40,MQA_sixth,MQA_sixth_LFOM,3.2739234368006387,3.21010414759318,3.1433819929758706,False,True
0,80,GQA_half,GQA_half_LFOM,3.1373083194096885,3.223885695139567,3.2330006758371987,True,False
0,80,MQA_sixth,MQA_sixth_LFOM,3.312898794809977,3.196691711743673,3.2330006758371987,True,True
1,40,GQA_half,GQA_half_LFOM,3.1734099785486856,3.0996803045272827,3.1506476402282715,True,True
1,40,MQA_sixth,MQA_sixth_LFOM,3.1491345167160034,3.2351560990015664,3.1506476402282715,False,False
1,80,GQA_half,GQA_half_LFOM,3.005210757255554,3.2364471356074014,3.2870824337005615,True,False
1,80,MQA_sixth,MQA_sixth_LFOM,3.1537230809529624,3.144722660382589,3.2870824337005615,True,True
2,40,GQA_half,GQA_half_LFOM,3.14463472366333,3.1135727564493814,3.2548400163650513,True,True
2,40,MQA_sixth,MQA_sixth_LFOM,3.3112380504608154,3.1882259448369346,3.2548400163650513,True,True
2,80,GQA_half,GQA_half_LFOM,3.2571283976236978,3.222657481829325,3.2224236329396567,False,True
2,80,MQA_sixth,MQA_sixth_LFOM,3.2522021532058716,3.1883997122446694,3.2224236329396567,True,True
3,40,GQA_half,GQA_half_LFOM,2.9609463214874268,3.121526002883911,3.2212169567743936,True,False
3,40,MQA_sixth,MQA_sixth_LFOM,3.286259730656942,3.224271853764852,3.2212169567743936,False,True
3,80,GQA_half,GQA_half_LFOM,3.194814165433248,3.1827274560928345,3.0950957536697388,False,True
3,80,MQA_sixth,MQA_sixth_LFOM,3.275949796040853,3.0942941904067993,3.0950957536697388,True,True
4,40,GQA_half,GQA_half_LFOM,2.992665489514669,3.26288370291392,3.265611410140991,True,False
4,40,MQA_sixth,MQA_sixth_LFOM,3.297262708346049,3.33700958887736,3.265611410140991,False,False
4,80,GQA_half,GQA_half_LFOM,3.101520816485087,3.199026266733805,3.1692641973495483,False,False
4,80,MQA_sixth,MQA_sixth_LFOM,3.215817093849182,3.2028771241505942,3.1692641973495483,False,True
5,40,GQA_half,GQA_half_LFOM,3.195515592892965,3.1351621945699057,3.2557482719421387,True,True
5,40,MQA_sixth,MQA_sixth_LFOM,3.1893118619918823,3.220270276069641,3.2557482719421387,True,False
5,80,GQA_half,GQA_half_LFOM,3.1829628547032676,3.1336106061935425,3.1996555725733438,True,True
5,80,MQA_sixth,MQA_sixth_LFOM,3.2044231494267783,3.2347230911254883,3.1996555725733438,False,False
6,40,GQA_half,GQA_half_LFOM,3.1816630363464355,3.1008434693018594,3.2207762400309243,True,True
6,40,MQA_sixth,MQA_sixth_LFOM,3.2150611877441406,3.1451974312464395,3.2207762400309243,True,True
6,80,GQA_half,GQA_half_LFOM,3.093040625254313,3.249192555745443,3.0941619873046875,False,False
6,80,MQA_sixth,MQA_sixth_LFOM,3.2768555084864297,3.1955988804499307,3.0941619873046875,False,True
7,40,GQA_half,GQA_half_LFOM,3.1955118974049888,3.1398473183314004,3.045781056086222,False,True
7,40,MQA_sixth,MQA_sixth_LFOM,3.2477336327234902,3.2331933975219727,3.045781056086222,False,True
7,80,GQA_half,GQA_half_LFOM,3.2582585414250693,3.2120885451634726,3.267100175221761,True,True
7,80,MQA_sixth,MQA_sixth_LFOM,3.293949921925863,3.1798519690831504,3.267100175221761,True,True
